id,Masa,Longitud_tarso,Longitud_ala,Longitud_pico,Longitud_pluma_interior_de_la_cola,Longitud_pluma_exterior_de_la_cola,target
2012-08-25-D06,14.8,14.5,14.0,9.7,NA,NA,7
2012-08-25-E14,15.4,13.9,14.0,8.8,NA,NA,6
2012-08-25-E16,22.1,15.5,16.0,10.3,NA,NA,7
2012-08-25-E17,9.6,13.0,13.0,8.6,NA,NA,2
2012-08-25-F06,10.4,12.5,13.0,8.6,NA,NA,2
2012-08-26-A03,21.7,NA,NA,NA,NA,NA,8
2012-08-26-B06,10.1,NA,NA,NA,NA,NA,2
2012-08-26-B12,18.4,NA,NA,NA,NA,NA,5
2012-08-26-D05,10.5,NA,NA,NA,NA,NA,6
2012-08-26-D06,21.4,NA,NA,NA,NA,NA,8
2012-08-26-E14,18.6,14.1,14.0,9.1,NA,NA,7
2012-08-26-E16,24.9,NA,NA,NA,NA,NA,8
2012-08-26-E17,9.8,NA,NA,NA,NA,NA,3
2012-08-26-F06,9.6,NA,NA,NA,NA,NA,3
2012-08-27-A03,22.7,NA,NA,NA,NA,NA,9
2012-08-27-B06,9.7,NA,NA,NA,NA,NA,3
2012-08-27-B12,21.4,13.3,14.0,9.0,NA,NA,6
2012-08-27-B13,22.5,14.6,16.0,9.6,NA,NA,5
2012-08-27-D05,11.5,12.8,13.0,8.5,NA,NA,7
2012-08-27-D06,22.4,NA,NA,NA,NA,NA,9
2012-08-27-E14,18.3,NA,NA,NA,NA,NA,8
2012-08-27-E16,25.7,NA,NA,NA,NA,NA,9
2012-08-27-E17,10.1,12.9,13.0,9.1,NA,NA,4
2012-08-27-F06,9.2,12.6,12.0,8.7,NA,NA,4
2012-08-28-A03,29.2,16.1,15.0,10.2,NA,NA,10
2012-08-28-B06,14.6,13.0,13.0,8.2,NA,NA,4
2012-08-28-B12,22.1,NA,NA,NA,NA,NA,7
2012-08-28-B13,19.3,NA,NA,NA,NA,NA,6
2012-08-28-D05,14.7,NA,NA,NA,NA,NA,8
2012-08-28-D06,27.8,16.4,13.0,9.7,NA,NA,10
2012-08-28-E14,22.0,NA,NA,NA,NA,NA,9
2012-08-28-E16,28.1,16.3,16.0,10.8,NA,NA,10
2012-08-28-E17,9.7,NA,NA,NA,NA,NA,5
2012-08-28-F06,9.5,12.6,11.0,8.3,NA,NA,5
2012-08-29-A03,33.4,NA,NA,NA,NA,NA,11
2012-08-29-B06,13.2,NA,NA,NA,NA,NA,5
2012-08-29-B12,25.8,NA,NA,NA,NA,NA,8
2012-08-29-B13,24.0,NA,NA,NA,NA,NA,7
2012-08-29-D05,15.8,NA,NA,NA,NA,NA,9
2012-08-29-D06,35.9,NA,NA,NA,NA,NA,11
2012-08-29-E14,18.7,15.4,15.0,9.3,NA,NA,10
2012-08-29-E16,30.8,NA,NA,NA,NA,NA,11
2012-08-29-E17,9.2,NA,NA,NA,NA,NA,6
2012-08-29-F06,14.0,NA,NA,NA,NA,NA,6
2012-08-29-FA,9.7,13.3,14.0,8.6,NA,NA,2
2012-08-30-A03,34.7,NA,NA,NA,NA,NA,12
2012-08-30-B06,15.5,NA,NA,NA,NA,NA,6
2012-08-30-B12,26.7,NA,NA,NA,NA,NA,9
2012-08-30-B13,31.6,15.9,14.0,10.3,NA,NA,8
2012-08-30-D05,15.1,13.8,12.0,9.3,NA,NA,10
2012-08-30-D06,35.3,NA,NA,NA,NA,NA,12
2012-08-30-E14,25.8,NA,NA,NA,NA,NA,11
2012-08-30-E16,36.9,NA,NA,NA,NA,NA,12
2012-08-30-E17,10.3,13.5,13.0,9.2,NA,NA,7
2012-08-30-F06,20.1,14.0,12.0,8.0,NA,NA,7
2012-08-30-FA,8.2,NA,NA,NA,NA,NA,3
2012-08-31-A03,34.2,18.1,19.0,10.7,NA,NA,13
2012-08-31-B06,16.9,14.3,13.0,8.6,NA,NA,7
2012-08-31-B12,28.4,16.0,17.0,9.5,NA,NA,10
2012-08-31-B13,26.6,NA,NA,NA,NA,NA,9
2012-08-31-D05,17.1,NA,NA,NA,NA,NA,11
2012-08-31-D06,36.0,18.4,17.0,10.5,NA,NA,13
2012-08-31-E14,29.4,NA,NA,NA,NA,NA,12
2012-08-31-E16,35.1,18.5,21.0,11.4,NA,NA,13
2012-08-31-E17,14.0,NA,NA,NA,NA,NA,8
2012-08-31-F06,20.6,NA,NA,NA,NA,NA,8
2012-08-31-FA,8.1,NA,NA,NA,NA,NA,4
2012-09-01-A03,30.3,NA,NA,NA,NA,NA,14
2012-09-01-B06,22.5,NA,NA,NA,NA,NA,8
2012-09-01-B12,33.2,NA,NA,NA,NA,NA,11
2012-09-01-B13,37.0,17.2,16.0,10.6,NA,NA,10
2012-09-01-D05,21.0,NA,NA,NA,NA,NA,12
2012-09-01-D06,32.2,NA,NA,NA,NA,NA,14
2012-09-01-E14,30.5,17.3,17.0,10.6,NA,NA,13
2012-09-01-E16,30.9,NA,NA,NA,NA,NA,14
2012-09-01-E17,17.0,NA,NA,NA,NA,NA,9
2012-09-01-F06,17.2,NA,NA,NA,NA,NA,9
2012-09-01-FA,10.3,13.0,14.0,9.0,NA,NA,5
2012-09-02-A03,38.0,NA,NA,NA,NA,NA,15
2012-09-02-B06,28.1,NA,NA,NA,NA,NA,9
2012-09-02-B12,39.6,17.1,18.0,10.5,NA,NA,12
2012-09-02-B13,36.7,18.3,17.0,10.7,NA,NA,11
2012-09-02-D05,18.2,15.3,14.0,10.2,NA,NA,13
2012-09-02-D06,33.8,NA,NA,NA,NA,NA,15
2012-09-02-E14,27.0,NA,NA,NA,NA,NA,14
2012-09-02-E16,35.5,NA,NA,NA,NA,NA,15
2012-09-02-E17,22.2,14.4,13.0,10.1,NA,NA,10
2012-09-02-F06,23.4,14.5,14.0,9.6,NA,NA,10
2012-09-02-FA,9.1,NA,NA,NA,NA,NA,6
2012-09-03-A03,41.5,19.8,22.0,10.9,NA,NA,16
2012-09-03-B06,32.0,16.2,16.0,10.3,NA,NA,10
2012-09-03-B12,37.1,17.7,19.0,10.7,NA,NA,13
2012-09-03-B13,42.3,NA,NA,NA,NA,NA,12
2012-09-03-D05,17.7,NA,NA,NA,NA,NA,14
2012-09-03-D06,43.4,20.5,22.0,10.9,NA,NA,16
2012-09-03-E14,31.1,NA,NA,NA,NA,NA,15
2012-09-03-E16,32.9,20.5,23.0,11.3,NA,NA,16
2012-09-03-E17,25.4,NA,NA,NA,NA,NA,11
2012-09-03-F06,28.1,NA,NA,NA,NA,NA,11
2012-09-03-FA,12.8,NA,NA,NA,NA,NA,7
2012-09-04-A03,40.3,NA,NA,NA,NA,NA,17
2012-09-04-B06,32.2,NA,NA,NA,NA,NA,11
2012-09-04-B12,43.3,NA,NA,NA,NA,NA,14
2012-09-04-B13,47.0,19.5,20.0,11.0,NA,NA,13
2012-09-04-D05,25.3,NA,NA,NA,NA,NA,15
2012-09-04-D06,44.2,NA,NA,NA,NA,NA,17
2012-09-04-E14,43.7,19.0,21.0,11.5,NA,NA,16
2012-09-04-E16,45.5,NA,NA,NA,NA,NA,17
2012-09-04-E17,29.8,NA,NA,NA,NA,NA,12
2012-09-04-F06,32.0,NA,NA,NA,NA,NA,12
2012-09-04-FA,16.7,14.1,14.0,9.8,NA,NA,8
2012-09-05-A03,45.1,NA,NA,NA,NA,NA,18
2012-09-05-B06,35.5,NA,NA,NA,NA,NA,12
2012-09-05-B12,45.7,18.7,19.0,11.1,NA,NA,15
2012-09-05-B13,50.7,20.2,19.0,11.1,NA,NA,14
2012-09-05-D05,22.8,16.6,15.0,10.3,NA,NA,16
2012-09-05-D06,46.4,NA,NA,NA,NA,NA,18
2012-09-05-E14,45.2,NA,NA,NA,NA,NA,17
2012-09-05-E16,53.1,NA,NA,NA,NA,NA,18
2012-09-05-E17,26.2,16.0,16.0,11.1,NA,NA,13
2012-09-05-F06,34.5,16.8,16.0,10.2,NA,NA,13
2012-09-05-FA,15.4,NA,NA,NA,NA,NA,9
2012-09-06-A03,41.7,22.0,21.0,11.2,NA,NA,19
2012-09-06-B06,42.9,18.7,18.0,10.5,NA,NA,13
2012-09-06-B12,48.5,20.1,22.0,11.3,NA,NA,16
2012-09-06-B13,49.1,NA,NA,NA,NA,NA,15
2012-09-06-D05,24.6,NA,NA,NA,NA,NA,17
2012-09-06-D06,47.6,23.5,26.0,11.5,NA,NA,19
2012-09-06-E14,47.6,NA,NA,NA,NA,NA,18
2012-09-06-E16,48.5,22.1,25.0,11.4,NA,NA,19
2012-09-06-E17,32.6,NA,NA,NA,NA,NA,14
2012-09-06-F06,42.7,NA,NA,NA,NA,NA,14
2012-09-06-FA,21.3,NA,NA,NA,NA,NA,10
2012-09-07-A03,54.9,NA,NA,NA,NA,NA,20
2012-09-07-B06,39.7,NA,NA,NA,NA,NA,14
2012-09-07-B12,52.0,NA,NA,NA,NA,NA,17
2012-09-07-B13,58.1,21.9,22.0,11.5,NA,NA,16
2012-09-07-D05,33.6,NA,NA,NA,NA,NA,18
2012-09-07-D06,52.7,NA,NA,NA,NA,NA,20
2012-09-07-E14,59.5,21.8,24.0,12.5,NA,NA,19
2012-09-07-E16,53.5,NA,NA,NA,NA,NA,20
2012-09-07-E17,35.4,NA,NA,NA,NA,NA,15
2012-09-07-F06,47.1,NA,NA,NA,NA,NA,15
2012-09-07-FA,23.1,16.0,14.0,10.2,NA,NA,11
2012-09-08-A03,52.9,NA,NA,NA,NA,NA,21
2012-09-08-B06,46.8,NA,NA,NA,NA,NA,15
2012-09-08-B12,53.1,21.6,24.0,11.6,NA,NA,18
2012-09-08-B13,53.0,22.7,24.0,11.6,NA,NA,17
2012-09-08-D05,29.2,18.1,16.0,11.5,NA,NA,19
2012-09-08-D06,51.5,NA,NA,NA,NA,NA,21
2012-09-08-E14,55.9,NA,NA,NA,NA,NA,20
2012-09-08-E16,48.7,NA,NA,NA,NA,NA,21
2012-09-08-E17,31.6,18.5,20.0,11.5,NA,NA,16
2012-09-08-F06,48.2,19.2,19.0,11.0,NA,NA,16
2012-09-08-FA,24.2,NA,NA,NA,NA,NA,12
2012-09-09-A03,55.9,24.1,28.0,12.0,NA,NA,22
2012-09-09-B06,54.8,21.0,20.0,11.0,NA,NA,16
2012-09-09-B12,48.7,22.0,21.0,12.0,NA,NA,19
2012-09-09-B13,55.7,NA,NA,NA,NA,NA,18
2012-09-09-D05,40.0,NA,NA,NA,NA,NA,20
2012-09-09-D06,55.4,25.5,31.0,12.3,NA,NA,22
2012-09-09-E14,65.8,NA,NA,NA,NA,NA,21
2012-09-09-E16,54.4,23.8,31.0,12.6,NA,NA,22
2012-09-09-E17,35.5,NA,NA,NA,NA,NA,17
2012-09-09-F06,43.2,NA,NA,NA,NA,NA,17
2012-09-09-FA,24.3,NA,NA,NA,NA,NA,13
2012-09-10-A03,50.7,NA,NA,NA,NA,NA,23
2012-09-10-B06,57.6,NA,NA,NA,NA,NA,17
2012-09-10-B12,61.8,NA,NA,NA,NA,NA,20
2012-09-10-B13,65.4,24.0,26.0,12.3,NA,NA,19
2012-09-10-D05,38.3,NA,NA,NA,NA,NA,21
2012-09-10-D06,66.8,NA,NA,NA,NA,NA,23
2012-09-10-E14,60.5,24.2,29.0,13.0,NA,NA,22
2012-09-10-E16,54.3,NA,NA,NA,NA,NA,23
2012-09-10-E17,34.5,NA,NA,NA,NA,NA,18
2012-09-10-F06,50.2,NA,NA,NA,NA,NA,18
2012-09-10-FA,31.5,17.4,18.0,10.7,NA,NA,14
2012-09-11-A03,54.2,NA,NA,NA,NA,NA,24
2012-09-11-B06,51.9,NA,NA,NA,NA,NA,18
2012-09-11-B12,62.2,23.0,30.0,12.3,NA,NA,21
2012-09-11-B13,64.1,24.8,28.0,12.1,NA,NA,20
2012-09-11-D05,47.8,20.1,20.0,12.0,NA,NA,22
2012-09-11-D06,72.0,NA,NA,NA,NA,NA,24
2012-09-11-E14,67.1,NA,NA,NA,NA,NA,23
2012-09-11-E16,62.8,NA,NA,NA,NA,NA,24
2012-09-11-E17,39.0,20.5,23.0,12.0,NA,NA,19
2012-09-11-F06,57.0,21.0,23.0,11.8,NA,NA,19
2012-09-11-FA,37.1,NA,NA,NA,NA,NA,15
2012-09-12-A03,49.3,25.8,34.0,12.5,NA,NA,25
2012-09-12-B06,55.2,23.0,26.0,11.4,NA,NA,19
2012-09-12-B12,65.0,23.9,31.0,12.1,NA,NA,22
2012-09-12-B13,71.0,NA,NA,NA,NA,NA,21
2012-09-12-D05,49.0,NA,NA,NA,NA,NA,23
2012-09-12-D06,71.2,27.6,36.0,12.8,NA,NA,25
2012-09-12-E14,59.5,NA,NA,NA,NA,NA,24
2012-09-12-E16,61.1,25.6,37.0,13.4,NA,NA,25
2012-09-12-E17,39.6,NA,NA,NA,NA,NA,20
2012-09-12-F06,56.5,NA,NA,NA,NA,NA,20
2012-09-12-FA,39.7,NA,NA,NA,NA,NA,16
2012-09-13-A03,52.1,NA,NA,NA,NA,NA,26
2012-09-13-B06,44.9,NA,NA,NA,NA,NA,20
2012-09-13-B12,61.8,NA,NA,NA,NA,NA,23
2012-09-13-B13,69.0,26.1,29.0,12.6,NA,NA,22
2012-09-13-D05,44.8,NA,NA,NA,NA,NA,24
2012-09-13-D06,70.1,NA,NA,NA,NA,NA,26
2012-09-13-E14,61.8,25.9,35.0,13.6,NA,NA,25
2012-09-13-E16,62.1,NA,NA,NA,NA,NA,26
2012-09-13-E17,44.8,NA,NA,NA,NA,NA,21
2012-09-13-F06,49.2,NA,NA,NA,NA,NA,21
2012-09-13-FA,39.4,NA,NA,NA,NA,NA,17
2012-09-14-A03,59.5,NA,NA,NA,NA,NA,27
2012-09-14-B06,53.0,NA,NA,NA,NA,NA,21
2012-09-14-B12,59.9,25.4,35.0,12.4,NA,NA,24
2012-09-14-B13,68.8,26.8,31.0,12.6,NA,NA,23
2012-09-14-D05,40.2,21.7,24.0,12.0,NA,NA,25
2012-09-14-D06,74.8,NA,NA,NA,NA,NA,27
2012-09-14-E14,59.3,NA,NA,NA,NA,NA,26
2012-09-14-E16,63.4,NA,NA,NA,NA,NA,27
2012-09-14-E17,45.5,22.7,25.0,12.5,NA,NA,22
2012-09-14-F06,44.4,22.9,28.0,12.2,NA,NA,22
2012-09-14-FA,47.7,NA,NA,NA,NA,NA,18
2012-09-15-A03,58.4,27.5,43.0,12.7,NA,NA,28
2012-09-15-B06,60.6,24.5,30.0,12.2,NA,NA,22
2012-09-15-B12,65.4,25.2,39.0,12.6,NA,NA,25
2012-09-15-B13,69.5,NA,NA,NA,NA,NA,24
2012-09-15-D05,50.1,NA,NA,NA,NA,NA,26
2012-09-15-D06,73.6,29.4,44.0,13.4,NA,NA,28
2012-09-15-E14,68.6,NA,NA,NA,NA,NA,27
2012-09-15-E16,63.6,26.8,41.0,13.5,NA,NA,28
2012-09-15-E17,42.6,NA,NA,NA,NA,NA,23
2012-09-15-F06,48.9,NA,NA,NA,NA,NA,23
2012-09-15-FA,43.3,NA,NA,NA,NA,NA,19
2012-09-16-A03,55.0,NA,NA,NA,NA,NA,29
2012-09-16-B06,61.6,NA,NA,NA,NA,NA,23
2012-09-16-B12,60.2,NA,NA,NA,NA,NA,26
2012-09-16-B13,71.2,27.7,33.0,13.2,NA,NA,25
2012-09-16-D05,55.9,NA,NA,NA,NA,NA,27
2012-09-16-D06,76.4,NA,NA,NA,NA,NA,29
2012-09-16-E14,72.0,27.1,38.0,14.0,NA,NA,28
2012-09-16-E16,65.1,NA,NA,NA,NA,NA,29
2012-09-16-E17,45.9,NA,NA,NA,NA,NA,24
2012-09-16-F06,45.3,NA,NA,NA,NA,NA,24
2012-09-16-FA,47.9,22.0,24.0,11.8,NA,NA,20
2012-09-17-A03,57.6,NA,NA,NA,NA,NA,30
2012-09-17-B06,69.2,NA,NA,NA,NA,NA,24
2012-09-17-B12,68.1,26.4,41.0,12.6,NA,NA,27
2012-09-17-B13,84.4,28.3,40.0,13.2,NA,NA,26
2012-09-17-D05,56.7,24.0,28.0,13.0,NA,NA,28
2012-09-17-D06,74.8,NA,NA,NA,NA,NA,30
2012-09-17-E14,74.0,NA,NA,NA,NA,NA,29
2012-09-17-E16,73.0,NA,NA,NA,NA,NA,30
2012-09-17-E17,45.0,24.3,30.0,12.8,NA,NA,25
2012-09-17-F06,49.2,24.6,33.0,12.1,NA,NA,25
2012-09-17-FA,47.3,NA,NA,NA,NA,NA,21
2012-09-18-A03,59.2,28.6,49.0,13.2,NA,NA,31
2012-09-18-B06,72.2,26.4,35.0,12.6,NA,NA,25
2012-09-18-B12,73.1,27.3,43.0,13.0,NA,NA,28
2012-09-18-B13,84.1,NA,NA,NA,NA,NA,27
2012-09-18-D05,51.8,NA,NA,NA,NA,NA,29
2012-09-18-D06,82.8,30.8,49.0,13.6,NA,NA,31
2012-09-18-E14,77.8,NA,NA,NA,NA,NA,30
2012-09-18-E16,72.1,28.2,51.0,13.9,NA,NA,31
2012-09-18-E17,50.2,NA,NA,NA,NA,NA,26
2012-09-18-F06,49.2,NA,NA,NA,NA,NA,26
2012-09-18-FA,49.3,NA,NA,NA,NA,NA,22
2012-09-19-A03,65.0,NA,NA,NA,NA,NA,32
2012-09-19-B06,72.1,NA,NA,NA,NA,NA,26
2012-09-19-B12,72.6,NA,NA,NA,NA,NA,29
2012-09-19-B13,85.8,29.6,45.0,13.4,NA,NA,28
2012-09-19-D05,62.5,NA,NA,NA,NA,NA,30
2012-09-19-D06,75.8,NA,NA,NA,NA,NA,32
2012-09-19-E14,71.4,29.1,51.0,14.2,NA,NA,31
2012-09-19-E16,69.4,NA,NA,NA,NA,NA,32
2012-09-19-E17,46.1,NA,NA,NA,NA,NA,27
2012-09-19-F06,67.1,NA,NA,NA,NA,NA,27
2012-09-19-FA,45.9,24.5,29.0,12.9,NA,NA,23
2012-09-20-A03,68.7,NA,NA,NA,NA,NA,33
2012-09-20-B06,79.6,NA,NA,NA,NA,NA,27
2012-09-20-B12,71.5,28.0,50.0,13.5,NA,NA,30
2012-09-20-B13,82.2,29.6,48.0,13.8,NA,NA,29
2012-09-20-D05,61.1,25.7,33.0,13.1,NA,NA,31
2012-09-20-D06,71.2,NA,NA,NA,NA,NA,33
2012-09-20-E14,72.4,NA,NA,NA,NA,NA,32
2012-09-20-E16,70.1,NA,NA,NA,NA,NA,33
2012-09-20-E17,43.3,25.7,33.0,13.5,NA,NA,28
2012-09-20-F06,66.4,26.5,38.0,13.0,NA,NA,28
2012-09-20-FA,44.1,NA,NA,NA,NA,NA,24
2012-09-21-A03,62.4,30.3,58.0,14.0,5.0,5.0,34
2012-09-21-B06,71.7,28.3,43.0,13.6,NA,NA,28
2012-09-21-B12,75.6,28.4,50.0,13.7,NA,NA,31
2012-09-21-B13,95.8,NA,NA,NA,NA,NA,30
2012-09-21-D05,64.9,NA,NA,NA,NA,NA,32
2012-09-21-D06,71.1,31.2,59.0,14.1,NA,NA,34
2012-09-21-E14,66.7,NA,NA,NA,NA,NA,33
2012-09-21-E16,75.3,29.0,59.0,14.6,8.0,8.0,34
2012-09-21-E17,41.0,NA,NA,NA,NA,NA,29
2012-09-21-F06,66.7,NA,NA,NA,NA,NA,29
2012-09-21-FA,52.0,NA,NA,NA,NA,NA,25
2012-09-22-A03,68.5,NA,NA,NA,NA,NA,35
2012-09-22-B06,71.9,NA,NA,NA,NA,NA,29
2012-09-22-B12,74.3,NA,NA,NA,NA,NA,32
2012-09-22-B13,96.5,30.5,53.0,14.3,NA,NA,31
2012-09-22-D05,61.0,NA,NA,NA,NA,NA,33
2012-09-22-D06,82.5,NA,NA,NA,NA,NA,35
2012-09-22-E14,73.3,29.5,59.0,14.8,8.0,8.0,34
2012-09-22-E16,70.1,NA,NA,NA,NA,NA,35
2012-09-22-E17,57.3,NA,NA,NA,NA,NA,30
2012-09-22-F06,69.5,NA,NA,NA,NA,NA,30
2012-09-22-FA,59.2,25.9,32.0,13.0,NA,NA,26
2012-09-23-A03,63.5,NA,NA,NA,NA,NA,36
2012-09-23-B06,79.2,29.5,49.0,13.0,NA,NA,30
2012-09-23-B12,73.4,29.0,58.0,13.9,8.0,8.0,33
2012-09-23-B13,97.7,31.1,58.0,14.6,10.0,10.0,32
2012-09-23-D05,72.8,27.0,36.0,14.0,NA,NA,34
2012-09-23-D06,75.8,NA,NA,NA,NA,NA,36
2012-09-23-E14,67.3,NA,NA,NA,NA,NA,35
2012-09-23-E16,71.6,NA,NA,NA,NA,NA,36
2012-09-23-E17,61.6,27.8,37.0,13.4,NA,NA,31
2012-09-23-F06,68.6,28.0,47.0,13.2,NA,NA,31
2012-09-23-FA,53.9,NA,NA,NA,NA,NA,27
2012-09-24-A03,66.6,30.6,65.0,14.1,15.0,15.0,37
2012-09-24-B06,NA,29.2,53.0,13.5,5.0,5.0,31
2012-09-24-B12,71.6,29.0,62.0,13.9,10.0,13.0,34
2012-09-24-B13,96.6,NA,NA,NA,NA,NA,33
2012-09-24-D05,75.0,NA,NA,NA,NA,NA,35
2012-09-24-D06,78.8,32.5,66.0,14.0,11.0,16.0,37
2012-09-24-E14,70.4,NA,NA,NA,NA,NA,36
2012-09-24-E16,66.7,29.9,66.0,14.6,11.0,15.0,37
2012-09-24-E17,56.8,NA,NA,NA,NA,NA,32
2012-09-24-F06,63.2,NA,NA,NA,NA,NA,32
2012-09-24-FA,58.0,NA,NA,NA,NA,NA,28
2012-09-25-A03,64.9,NA,NA,NA,NA,NA,38
2012-09-25-B12,65.8,NA,NA,NA,NA,NA,35
2012-09-25-B13,91.2,31.7,65.0,15.0,9.0,9.0,34
2012-09-25-D05,68.4,NA,NA,NA,NA,NA,36
2012-09-25-D06,82.4,NA,NA,NA,NA,NA,38
2012-09-25-E14,81.4,30.7,68.0,15.0,15.0,12.0,37
2012-09-25-E16,69.5,NA,NA,NA,NA,NA,38
2012-09-25-E17,52.5,NA,NA,NA,NA,NA,33
2012-09-25-F06,70.3,NA,NA,NA,NA,NA,33
2012-09-25-FA,67.2,27.3,36.0,13.5,NA,NA,29
2012-09-26-A03,69.1,NA,NA,NA,NA,NA,39
2012-09-26-B06,90.7,NA,NA,NA,NA,NA,33
2012-09-26-B12,70.2,29.5,64.0,13.9,14.0,18.0,36
2012-09-26-B13,91.5,32.0,64.0,14.7,11.0,11.0,35
2012-09-26-D05,71.9,28.5,44.0,13.6,NA,NA,37
2012-09-26-D06,80.5,NA,NA,NA,NA,NA,39
2012-09-26-E14,75.7,NA,NA,NA,NA,NA,38
2012-09-26-E16,77.4,NA,NA,NA,NA,NA,39
2012-09-26-E17,65.4,28.6,46.0,13.7,NA,NA,34
2012-09-26-F06,65.3,29.0,56.0,13.3,NA,NA,34
2012-09-26-FA,64.9,NA,NA,NA,NA,NA,30
2012-09-27-A03,74.1,31.5,69.0,14.1,20.0,20.0,40
2012-09-27-B06,82.4,30.7,62.0,13.9,12.0,12.0,34
2012-09-27-B12,85.7,29.6,66.0,13.8,17.0,20.0,37
2012-09-27-B13,91.9,NA,NA,NA,NA,NA,36
2012-09-27-D05,77.2,NA,NA,NA,NA,NA,38
2012-09-27-D06,84.6,32.8,72.0,14.7,17.0,20.0,40
2012-09-27-E14,88.2,31.3,72.0,15.2,18.0,18.0,39
2012-09-27-E16,77.1,30.5,72.0,14.9,18.0,22.0,40
2012-09-27-E17,60.5,NA,NA,NA,NA,NA,35
2012-09-27-F06,72.6,NA,NA,NA,NA,NA,35
2012-09-27-FA,60.6,NA,NA,NA,NA,NA,31
2012-09-28-A03,74.9,NA,NA,NA,NA,NA,41
2012-09-28-B06,91.5,NA,NA,NA,NA,NA,35
2012-09-28-B12,85.5,NA,NA,NA,NA,NA,38
2012-09-28-B13,90.1,32.5,68.0,14.3,14.0,15.0,37
2012-09-28-D05,81.4,NA,NA,NA,NA,NA,39
2012-09-28-D06,79.6,NA,NA,NA,NA,NA,41
2012-09-28-E14,81.5,31.5,76.0,15.4,21.0,20.0,40
2012-09-28-E16,77.5,NA,NA,NA,NA,NA,41
2012-09-28-E17,56.5,NA,NA,NA,NA,NA,36
2012-09-28-F06,64.6,NA,NA,NA,NA,NA,36
2012-09-28-FA,74.1,29.0,41.0,13.9,NA,NA,32
2012-09-29-A03,69.3,NA,NA,NA,NA,NA,42
2012-09-29-B06,84.3,NA,NA,NA,NA,NA,36
2012-09-29-B12,86.1,30.2,71.0,14.3,20.0,23.0,39
2012-09-29-B13,102.1,32.5,71.0,14.7,15.0,15.0,38
2012-09-29-D05,81.4,29.7,53.0,14.0,10.0,10.0,40
2012-09-29-D06,74.9,NA,NA,NA,NA,NA,42
2012-09-29-E14,74.9,NA,NA,NA,NA,NA,41
2012-09-29-E16,71.3,NA,NA,NA,NA,NA,42
2012-09-29-E17,60.7,29.6,55.0,14.5,NA,NA,37
2012-09-29-F06,60.2,29.6,61.0,13.9,10.0,13.0,37
2012-09-29-FA,68.1,NA,NA,NA,NA,NA,33
2012-09-30-A03,64.5,31.8,76.0,14.2,23.0,25.0,43
2012-09-30-B06,88.2,31.5,71.0,14.0,17.0,17.0,37
2012-09-30-B12,79.8,30.3,73.0,14.1,21.0,25.0,40
2012-09-30-B13,99.0,NA,NA,NA,NA,NA,39
2012-09-30-D05,81.7,NA,NA,NA,NA,NA,41
2012-09-30-D06,68.6,32.9,77.0,15.0,25.0,17.0,43
2012-09-30-E14,81.8,NA,NA,NA,NA,NA,42
